,precision,recall,f1-score,support
Access,0.897381457891012,0.8898245614035087,0.8935870331219169,1425.0
Administrative rights,0.8527397260273972,0.7073863636363636,0.7732919254658385,352.0
HR Support,0.8624655013799448,0.858909757214842,0.8606839568510443,2183.0
Hardware,0.8162143593266918,0.8722466960352423,0.8433007985803017,2724.0
Internal Project,0.9034653465346535,0.8608490566037735,0.8816425120772947,424.0
Miscellaneous,0.8288352272727273,0.8264872521246459,0.8276595744680851,1412.0
Purchase,0.9562363238512035,0.8864097363083164,0.92,493.0
Storage,0.9233791748526523,0.8468468468468469,0.8834586466165414,555.0
accuracy,0.8577550167224081,0.8577550167224081,0.8577550167224081,0.8577550167224081
macro avg,0.8800896396420352,0.8436200337716924,0.8604530558976279,9568.0
weighted avg,0.8593590784820563,0.8577550167224081,0.8578528455521707,9568.0
